PID	PLOTKEY	TREE_ID	TREE_SPECIES	TREE_SPECIES_LUMP	code	DIAM_CLASS_4_11	DIAM_CLASS_12_23	DIAM_CLASS_24_35	DIAM_CLASS_36_	TOTAL	height	genus	species	var_subsp	lifeform	source	table	code_match	name	num_matches
87	65B59	174	H	H	H	5	0	0	0	5	12	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
87	65B59	173	M	M	M	4	0	0	0	4	15	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
88	65B510	175	D	D	D	13	0	0	0	13	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
88	65B510	176	A	A	A	0	3	0	0	3	35	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
88	65B510	177	B	B	B	1	0	0	0	1	25	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
88	65B510	178	V	V	V	1	0	0	0	1	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
89	65B512	180	W	W	W	9	1	0	0	10	20	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
89	65B512	179	D	D	D	6	2	0	0	8	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
89	65B512	181	A	A	A	1	0	0	0	1	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
90	65B513	182	D	D	D	4	3	1	0	8	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
90	65B513	183	V	V	V	1	2	0	0	3	30	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
91	65B514	187	D	D	D	6	0	0	0	6	10	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
91	65B514	184	W	W	W	5	0	0	0	5	10	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
91	65B514	186	B	B	B	2	0	0	0	2	10	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
91	65B514	185	V	V	V	2	0	0	0	2	15	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
92	65B61	188	D	D	D	11	1	0	0	12	30	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
92	65B61	189	W	W	W	3	0	0	0	3	25	quercus	wislizenii		t	3	TREE_TALLY	matched	Quercus wislizenii 	2
93	65B62	190	H	H	H	3	0	0	0	3	10	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
94	65B63	191	D	D	D	13	1	0	0	14	20	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
